season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612737,74,777,10.5,7.31,1.32,0.635,1.08,0.576,0.715,0.34
2018-19,1610612737,61,1188,19.5,9.75,1.98,0.361,0.639,0.56,0.763,0.348
2019-20,1610612737,41,885,21.6,10.1,1.46,0.756,1.61,0.583,0.8,0.401
2020-21,1610612737,63,1111,17.6,7.41,1.24,0.54,1.0,0.556,0.833,0.399
2021-22,1610612737,54,876,16.2,7.81,1.81,0.611,1.04,0.526,0.793,0.364
2022-23,1610612737,71,931,13.1,6.51,1.2,0.592,1.03,0.508,0.803,0.292
2023-24,1610612762,68,1027,15.1,8.46,1.13,0.588,0.897,0.532,0.795,0.371
2024-25,1610612762,40,758,18.9,8.18,2.0,0.975,1.0,0.527,0.848,0.399
