season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2018-19,1610612756,82,684,8.34,3.22,2.11,1.57,0.463,0.43,0.805,0.335
2019-20,1610612756,73,667,9.14,4.0,1.77,1.4,0.63,0.51,0.844,0.361
2020-21,1610612756,72,970,13.5,4.29,2.11,1.06,0.875,0.543,0.84,0.425
2021-22,1610612756,82,1162,14.2,4.23,2.26,1.17,0.439,0.534,0.834,0.369
2022-23,1610612756,56,965,17.2,4.34,3.59,1.16,0.804,0.463,0.897,0.387
2022-23,1610612751,27,706,26.1,4.48,2.67,0.963,0.593,0.475,0.894,0.376
2022-23,0,83,1671,20.1,4.39,3.29,1.1,0.735,0.468,0.895,0.382
2023-24,1610612751,82,1606,19.6,4.54,3.65,0.988,0.366,0.436,0.814,0.372
2024-25,1610612752,70,1240,17.7,3.26,3.56,0.971,0.543,0.497,0.79,0.353
