season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612741,68,1033,15.2,7.47,1.16,0.574,0.588,0.434,0.843,0.362
2018-19,1610612741,52,974,18.7,9.04,1.44,0.712,0.635,0.43,0.872,0.361
2019-20,1610612741,50,737,14.7,6.26,1.48,0.84,0.46,0.425,0.824,0.344
2020-21,1610612741,51,695,13.6,5.25,0.882,0.51,0.294,0.48,0.826,0.402
2021-22,1610612739,61,900,14.8,5.66,1.33,0.738,0.492,0.445,0.868,0.358
2022-23,1610612762,66,1691,25.6,8.64,1.86,0.636,0.576,0.499,0.875,0.391
2023-24,1610612762,55,1278,23.2,8.16,2.0,0.909,0.473,0.48,0.899,0.399
2024-25,1610612762,47,892,19.0,5.91,1.49,0.702,0.362,0.423,0.876,0.346
