id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct,career_pts,championships,role,name
1,1550,27.0,7.5,7.4,1.5,0.7,0.5,0.7,0.3,41924,4,Forward-Guard,LeBron James
2,1119,27.2,7.0,4.4,1.0,1.1,0.5,0.9,0.4,30469,4,Forward,Kevin Durant
3,1139,24.1,5.6,7.2,1.5,0.6,0.4,0.9,0.4,27399,0,Guard,James Harden
4,1226,21.3,7.0,8.0,1.6,0.3,0.4,0.8,0.3,26055,0,Guard,Russell Westbrook
5,1016,24.7,4.7,6.4,1.5,0.3,0.5,0.9,0.4,25117,4,Guard,Stephen Curry
6,1174,21.3,4.4,4.1,1.0,0.3,0.5,0.8,0.3,25005,0,Guard,DeMar DeRozan
7,1341,17.1,4.4,9.3,2.0,0.2,0.5,0.9,0.4,22903,0,Guard,Chris Paul
8,900,25.1,4.3,6.7,1.0,0.3,0.4,0.9,0.4,22598,0,Guard,Damian Lillard
9,849,23.8,9.9,4.9,1.1,1.2,0.5,0.7,0.3,20223,1,Forward,Giannis Antetokounmpo
10,779,24.2,10.7,2.5,1.3,2.3,0.5,0.8,0.3,18824,1,Forward,Anthony Davis
11,908,20.6,6.3,3.7,1.7,0.4,0.4,0.9,0.4,18697,0,Forward,Paul George
12,779,23.7,4.1,5.6,1.3,0.4,0.5,0.9,0.4,18433,1,Guard,Kyrie Irving
13,1093,15.9,6.1,1.5,0.6,1.9,0.5,0.8,0.4,17331,1,Center,Brook Lopez
14,796,21.6,4.1,4.3,1.1,0.4,0.5,0.8,0.4,17187,0,Guard,Bradley Beal
15,961,17.2,10.5,2.9,0.8,0.9,0.5,0.8,0.3,16532,1,Center,Nikola Vučević
16,855,19.2,3.5,2.3,0.8,0.5,0.5,0.9,0.4,16431,4,Guard,Klay Thompson
17,1162,14.1,2.9,5.7,1.4,0.2,0.4,0.8,0.4,16395,0,Guard,Mike Conley
18,1171,14.0,4.2,6.1,1.3,0.3,0.4,0.8,0.4,16351,0,Guard,Kyle Lowry
19,1029,15.9,4.2,6.2,1.4,0.5,0.5,0.8,0.4,16327,2,Guard,Jrue Holiday
20,663,24.4,4.0,5.2,0.9,0.3,0.5,0.9,0.4,16206,0,Guard,Devin Booker
21,737,21.6,10.9,7.2,1.3,0.7,0.6,0.8,0.4,15945,1,Center,Nikola Jokić
22,857,18.3,5.4,4.3,1.6,0.4,0.5,0.8,0.3,15669,0,Forward,Jimmy Butler III
23,964,16.1,6.2,2.4,0.8,0.6,0.5,0.8,0.4,15527,0,Forward,Tobias Harris
24,952,16.2,10.0,2.3,0.6,0.4,0.4,0.8,0.4,15421,1,Forward,Kevin Love
25,786,19.6,3.6,3.8,0.9,0.4,0.5,0.8,0.4,15374,0,Guard,CJ McCollum
26,635,23.0,11.1,3.2,0.8,1.2,0.5,0.8,0.4,14632,0,Center,Karl-Anthony Towns
27,1132,12.9,7.9,3.2,0.8,1.1,0.5,0.8,0.4,14618,1,Center,Al Horford
28,723,20.0,6.3,3.0,1.7,0.6,0.5,0.9,0.4,14469,2,Forward,Kawhi Leonard
29,1212,11.9,4.0,1.5,0.6,0.5,0.5,0.8,0.3,14374,0,Forward,Jeff Green
30,925,15.3,2.3,2.7,0.8,0.4,0.4,0.8,0.4,14134,0,Guard,Eric Gordon
31,761,18.5,4.5,2.3,1.0,0.7,0.4,0.7,0.4,14077,1,Forward,Andrew Wiggins
32,980,13.9,4.8,1.8,0.7,0.2,0.5,0.8,0.4,13611,1,Forward,Harrison Barnes
33,577,23.5,7.3,3.8,1.1,0.7,0.5,0.8,0.4,13588,1,Forward,Jayson Tatum
34,700,19.0,9.2,3.8,0.7,0.4,0.5,0.8,0.3,13334,0,Forward,Julius Randle
35,641,20.7,4.1,4.0,0.9,0.3,0.5,0.8,0.4,13290,0,Guard,Zach LaVine
36,532,24.7,4.3,4.7,1.4,0.3,0.4,0.8,0.4,13145,0,Guard,Donovan Mitchell
37,774,16.6,4.8,4.0,1.2,0.2,0.5,0.9,0.4,12884,1,Forward,Khris Middleton
38,452,27.7,11.0,3.7,0.9,1.6,0.5,0.8,0.3,12523,0,Center,Joel Embiid
39,438,28.6,8.7,8.3,1.2,0.5,0.5,0.7,0.3,12513,0,Guard,Luka Dončić
40,924,13.2,9.4,1.4,0.4,0.9,0.6,0.8,0.3,12180,0,Center,Jonas Valančiūnas
41,752,16.0,3.4,2.9,0.8,0.2,0.4,0.8,0.3,12019,0,Guard,Jordan Clarkson
42,471,25.3,3.5,9.8,1.0,0.2,0.4,0.9,0.4,11919,0,Guard,Trae Young
43,833,14.0,2.9,4.8,0.8,0.1,0.4,0.8,0.3,11621,0,Guard,Dennis Schröder
44,531,21.5,3.9,6.1,1.4,0.4,0.5,0.7,0.3,11399,0,Guard,De'Aaron Fox
45,596,19.0,5.3,2.6,1.0,0.4,0.5,0.7,0.4,11313,1,Forward,Jaylen Brown
46,904,12.5,12.1,1.2,1.3,1.3,0.5,0.5,0.1,11293,0,Center,Andre Drummond
47,1121,10.0,4.9,3.2,0.9,0.6,0.4,0.8,0.4,11211,1,Forward,Nicolas Batum
48,620,18.0,6.7,3.6,0.9,0.6,0.5,0.8,0.3,11190,1,Forward,Pascal Siakam
49,453,24.3,4.8,5.1,1.4,0.8,0.5,0.9,0.4,11016,0,Guard,Shai Gilgeous-Alexander
50,803,13.7,2.9,1.8,0.6,0.1,0.4,0.8,0.4,10994,0,Guard,Tim Hardaway Jr.
51,884,12.3,2.8,4.1,0.7,0.1,0.4,0.9,0.3,10845,1,Guard,Reggie Jackson
52,625,17.3,3.4,5.7,1.1,0.3,0.4,0.8,0.4,10840,0,Guard,D'Angelo Russell
53,702,15.1,4.1,2.5,0.9,0.3,0.4,0.9,0.4,10611,0,Guard,Buddy Hield
54,819,12.5,11.7,1.4,0.7,2.1,0.7,0.6,0.0,10270,1,Center,Rudy Gobert
55,634,16.1,10.6,4.9,0.8,0.5,0.6,0.7,0.3,10176,1,Center,Domantas Sabonis
56,902,11.2,3.0,1.8,1.2,0.3,0.4,0.8,0.4,10088,1,Guard,Kentavious Caldwell-Pope
57,494,19.6,7.8,1.8,0.7,1.8,0.5,0.8,0.4,9703,0,Forward,Kristaps Porziņģis
58,495,19.5,5.2,4.3,0.7,0.6,0.5,0.8,0.4,9656,0,Forward,Brandon Ingram
59,711,13.5,6.2,2.7,0.7,0.6,0.5,0.7,0.3,9609,1,Forward,Aaron Gordon
60,531,17.9,3.8,4.7,1.0,0.4,0.5,0.9,0.4,9508,1,Guard,Jamal Murray
61,719,13.1,3.9,1.6,0.7,1.0,0.4,0.8,0.4,9428,0,Forward,Jerami Grant
62,1101,8.6,9.7,0.9,0.5,1.4,0.7,0.5,0.2,9427,1,Center,DeAndre Jordan
63,660,14.0,3.9,3.5,0.9,0.2,0.4,0.8,0.4,9233,0,Guard,Terry Rozier
64,528,17.1,6.4,2.7,0.6,0.5,0.4,0.7,0.3,9013,0,Forward,Kyle Kuzma
65,632,14.0,6.8,1.3,0.7,2.2,0.5,0.8,0.4,8879,0,Center,Myles Turner
66,371,23.8,5.3,4.2,1.3,0.6,0.4,0.8,0.4,8815,0,Guard,Anthony Edwards
67,483,18.1,3.2,5.0,0.7,0.1,0.5,0.8,0.4,8737,0,Guard,Jalen Brunson
68,557,15.6,8.9,3.6,1.1,0.9,0.5,0.8,0.3,8710,0,Center,Bam Adebayo
69,655,13.3,4.6,1.1,1.0,0.5,0.4,0.8,0.3,8696,0,Forward,Kelly Oubre Jr.
70,994,8.4,5.7,0.9,0.5,1.0,0.5,0.7,0.3,8376,0,Forward,Taj Gibson
71,780,10.5,3.4,1.9,0.7,0.2,0.4,0.8,0.4,8223,0,Guard,Alec Burks
72,450,18.2,7.1,1.5,0.7,0.5,0.5,0.9,0.4,8200,0,Forward,Lauri Markkanen
73,542,15.0,3.4,5.7,1.4,0.5,0.4,0.9,0.4,8121,0,Guard,Fred VanVleet
74,793,10.2,5.2,2.5,0.8,0.5,0.5,0.8,0.4,8064,0,Forward,Kelly Olynyk
75,917,8.7,1.6,2.2,0.6,0.1,0.4,0.9,0.4,7982,0,Guard,Patty Mills
76,606,13.2,2.7,1.5,0.8,0.3,0.5,0.8,0.4,7977,0,Guard,Norman Powell
77,543,14.7,4.0,2.7,1.2,0.6,0.5,0.8,0.4,7973,0,Forward,Mikal Bridges
78,611,13.0,3.0,5.0,0.7,0.3,0.4,0.8,0.3,7964,0,Guard,Spencer Dinwiddie
79,664,12.0,10.5,1.0,0.7,1.4,0.6,0.5,0.0,7954,0,Center,Clint Capela
80,503,15.5,5.8,5.4,1.5,0.3,0.5,0.8,0.3,7803,0,Guard,Dejounte Murray
81,651,11.9,7.2,1.3,0.6,0.4,0.5,0.8,0.4,7769,0,Forward,Bobby Portis
82,869,8.7,6.9,5.6,1.3,1.0,0.5,0.7,0.3,7572,0,Forward,Draymond Green
83,472,16.0,8.1,1.5,0.6,1.0,0.5,0.8,0.4,7553,0,Forward,John Collins
84,810,9.3,4.2,1.6,1.0,0.3,0.4,0.8,0.3,7512,0,Forward,Jae Crowder
85,399,18.8,2.8,3.7,0.8,0.1,0.5,0.8,0.4,7505,0,Guard,Collin Sexton
86,397,18.4,5.6,1.5,1.0,1.9,0.5,0.8,0.3,7311,0,Forward,Jaren Jackson Jr.
87,381,18.9,5.6,3.3,0.7,0.3,0.4,0.7,0.3,7187,0,Guard,RJ Barrett
88,556,12.8,9.3,1.7,0.6,1.3,0.6,0.7,0.2,7126,0,Center,Jarrett Allen
89,512,13.9,3.8,4.0,1.1,0.4,0.4,0.7,0.3,7115,0,Guard,Caris LeVert
90,463,15.3,4.1,4.7,0.8,0.2,0.5,0.9,0.4,7077,0,Guard,Malcolm Brogdon
91,491,14.4,3.4,3.2,1.0,0.3,0.4,0.8,0.4,7061,0,Guard,Bogdan Bogdanović
92,372,18.9,2.6,6.7,1.2,0.1,0.5,0.9,0.4,7016,0,Guard,Darius Garland
93,854,8.1,6.7,2.4,0.7,0.8,0.6,0.6,0.0,6890,0,Center,Mason Plumlee
94,579,11.9,8.9,2.5,0.9,1.1,0.5,0.7,0.3,6865,0,Center,Jusuf Nurkić
95,484,14.2,3.3,2.0,0.9,0.3,0.4,0.8,0.4,6852,0,Guard,Dillon Brooks
96,814,8.4,7.8,1.0,0.5,0.6,0.5,0.6,0.2,6804,0,Center,Tristan Thompson
97,403,16.8,2.7,3.8,0.9,0.3,0.4,0.9,0.3,6754,0,Guard,Jordan Poole
98,300,22.5,4.7,7.4,1.0,0.3,0.5,0.8,0.3,6743,0,Guard,Ja Morant
99,351,19.1,5.0,4.0,0.7,0.2,0.4,0.9,0.4,6713,0,Guard,Tyler Herro
100,757,8.8,8.0,1.5,0.8,0.9,0.6,0.5,0.1,6698,0,Center,Steven Adams
