season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2018-19,1610612737,81,1549,19.1,3.72,8.06,0.889,0.185,0.418,0.829,0.324
2019-20,1610612737,60,1778,29.6,4.25,9.33,1.08,0.133,0.437,0.86,0.361
2020-21,1610612737,63,1594,25.3,3.89,9.43,0.841,0.19,0.438,0.886,0.343
2021-22,1610612737,76,2155,28.4,3.74,9.7,0.947,0.0921,0.46,0.904,0.382
2022-23,1610612737,73,1914,26.2,2.97,10.2,1.1,0.123,0.429,0.886,0.335
2023-24,1610612737,54,1389,25.7,2.76,10.8,1.33,0.204,0.43,0.855,0.373
2024-25,1610612737,66,1593,24.1,3.18,11.4,1.15,0.167,0.41,0.874,0.332
