season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612738,80,1112,13.9,5.03,1.6,1.04,0.725,0.475,0.826,0.434
2018-19,1610612738,79,1243,15.7,6.04,2.13,1.06,0.722,0.45,0.855,0.373
2019-20,1610612738,66,1547,23.4,6.97,3.03,1.41,0.864,0.45,0.812,0.403
2020-21,1610612738,64,1692,26.4,7.38,4.31,1.17,0.484,0.459,0.868,0.386
2021-22,1610612738,76,2046,26.9,8.01,4.39,0.987,0.645,0.453,0.853,0.353
2022-23,1610612738,74,2225,30.1,8.77,4.62,1.05,0.689,0.466,0.854,0.35
2023-24,1610612738,74,1987,26.9,8.12,4.92,1.01,0.581,0.471,0.833,0.376
2024-25,1610612738,65,1766,27.2,8.71,5.92,1.12,0.523,0.454,0.815,0.349
