season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612761,37,107,2.89,1.14,0.946,0.432,0.0811,0.351,0.818,0.379
2017-18,1610612761,76,656,8.63,2.42,3.2,0.895,0.25,0.426,0.832,0.414
2018-19,1610612761,64,701,11.0,2.61,4.8,0.891,0.312,0.41,0.843,0.378
2019-20,1610612761,54,952,17.6,3.76,6.61,1.85,0.315,0.413,0.848,0.39
2020-21,1610612761,52,1019,19.6,4.23,6.31,1.67,0.712,0.389,0.885,0.366
2021-22,1610612761,65,1320,20.3,4.45,6.68,1.71,0.538,0.403,0.874,0.377
2022-23,1610612761,69,1335,19.3,4.06,7.17,1.78,0.551,0.393,0.898,0.342
2023-24,1610612745,73,1270,17.4,3.81,8.07,1.38,0.808,0.416,0.86,0.387
2024-25,1610612745,53,768,14.5,3.94,5.58,1.62,0.434,0.386,0.817,0.349
