season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2017-18,1610612762,79,1616,20.5,3.75,3.68,1.49,0.342,0.437,0.805,0.34
2018-19,1610612762,77,1829,23.8,4.1,4.18,1.38,0.403,0.432,0.806,0.362
2019-20,1610612762,69,1655,24.0,4.41,4.26,1.01,0.203,0.449,0.863,0.366
2020-21,1610612762,53,1401,26.4,4.43,5.23,0.981,0.283,0.438,0.845,0.386
2021-22,1610612762,67,1733,25.9,4.21,5.34,1.48,0.179,0.448,0.853,0.355
2022-23,1610612739,68,1922,28.3,4.25,4.43,1.46,0.397,0.484,0.867,0.386
2023-24,1610612739,55,1463,26.6,5.09,6.05,1.84,0.545,0.462,0.865,0.368
2024-25,1610612739,65,1542,23.7,4.34,4.8,1.31,0.185,0.44,0.824,0.367
