season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2019-20,1610612748,55,743,13.5,4.07,2.2,0.618,0.164,0.428,0.87,0.389
2020-21,1610612748,54,815,15.1,4.96,3.41,0.648,0.315,0.439,0.803,0.36
2021-22,1610612748,66,1367,20.7,4.98,3.98,0.667,0.121,0.447,0.868,0.399
2022-23,1610612748,67,1347,20.1,5.37,4.18,0.761,0.239,0.439,0.934,0.378
2023-24,1610612748,42,875,20.8,5.29,4.48,0.714,0.0714,0.441,0.856,0.396
2024-25,1610612748,68,1595,23.5,5.25,5.56,0.868,0.235,0.461,0.867,0.366
