season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612747,79,740,9.37,4.0,2.1,0.633,0.456,0.402,0.621,0.294
2017-18,1610612747,59,949,16.1,5.32,3.9,0.763,0.729,0.47,0.681,0.39
2018-19,1610612747,52,950,18.3,5.13,2.96,0.538,0.596,0.497,0.675,0.33
2019-20,1610612740,62,1477,23.8,6.13,4.18,0.984,0.613,0.463,0.851,0.391
2020-21,1610612740,61,1450,23.8,4.9,4.85,0.689,0.59,0.466,0.878,0.381
2021-22,1610612740,55,1246,22.7,5.82,5.58,0.618,0.473,0.461,0.826,0.327
2022-23,1610612740,45,1112,24.7,5.47,5.82,0.711,0.422,0.484,0.882,0.39
2023-24,1610612740,64,1332,20.8,5.06,5.67,0.781,0.625,0.492,0.801,0.355
2024-25,1610612740,18,400,22.2,5.56,5.17,0.889,0.611,0.465,0.855,0.374
