id,games_played,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct,career_pts,championships,role,name
59,43,14.3,4.93,3.09,0.465,0.233,0.528,0.814,0.458,613,1,Forward,Aaron Gordon
60,63,21.6,3.81,6.03,1.43,0.508,0.476,0.887,0.399,1360,1,Guard,Jamal Murray
61,47,14.4,3.47,2.15,0.872,0.979,0.373,0.849,0.365,677,0,Forward,Jerami Grant
62,47,3.49,4.87,0.851,0.277,0.426,0.655,0.4,0.2,164,1,Center,DeAndre Jordan
63,59,11.2,3.76,2.66,0.593,0.237,0.396,0.857,0.3,660,0,Guard,Terry Rozier
64,53,14.7,6.15,2.3,0.547,0.208,0.426,0.631,0.286,781,0,Forward,Kyle Kuzma
65,62,15.6,6.5,1.6,0.823,1.9,0.479,0.782,0.394,968,0,Center-Forward,Myles Turner
66,69,27.5,5.78,4.58,1.14,0.609,0.442,0.841,0.4,1895,0,Guard,Anthony Edwards
67,61,26.3,2.97,7.41,0.951,0.0984,0.49,0.825,0.384,1606,0,Guard,Jalen Brunson
68,69,17.5,9.71,4.33,1.26,0.696,0.485,0.764,0.317,1208,0,Center-Forward,Bam Adebayo
69,60,15.1,6.13,1.8,1.53,0.5,0.47,0.751,0.293,906,0,Forward-Guard,Kelly Oubre Jr.
70,29,2.97,3.45,0.552,0.276,0.414,0.5,0.688,0.5,86,0,Forward,Taj Gibson
71,39,6.13,2.56,1.1,0.564,0.154,0.401,0.762,0.41,239,0,Guard,Alec Burks
72,47,19.0,5.91,1.49,0.702,0.362,0.423,0.876,0.346,892,0,Forward-Center,Lauri Markkanen
73,53,14.5,3.94,5.58,1.62,0.434,0.386,0.817,0.349,768,0,Guard,Fred VanVleet
74,38,8.39,4.61,2.87,0.658,0.447,0.513,0.766,0.423,319,0,Forward-Center,Kelly Olynyk
75,25,3.56,0.84,1.0,0.52,0.12,0.349,0.889,0.313,89,0,Guard,Patty Mills
76,50,22.7,3.4,2.12,1.28,0.16,0.488,0.824,0.419,1135,0,Guard,Norman Powell
77,70,17.7,3.26,3.56,0.971,0.543,0.497,0.79,0.353,1240,0,Guard-Forward,Mikal Bridges
78,69,11.0,2.45,3.96,0.87,0.203,0.42,0.814,0.336,758,0,Guard,Spencer Dinwiddie
79,55,8.87,8.53,1.13,0.618,0.964,0.559,0.536,0.0,488,0,Center,Clint Capela
80,31,17.5,6.45,7.35,2.03,0.387,0.393,0.823,0.299,542,0,Guard,Dejounte Murray
81,46,13.7,8.33,2.22,0.674,0.543,0.463,0.821,0.364,631,0,Forward,Bobby Portis
82,57,9.21,6.16,5.74,1.47,1.09,0.428,0.682,0.327,525,0,Forward,Draymond Green
83,40,18.9,8.18,2.0,0.975,1.0,0.527,0.848,0.399,758,0,Forward-Center,John Collins
84,7,2.86,2.43,0.571,0.429,0.0,0.353,0.833,0.25,20,0,Forward,Jae Crowder
85,56,18.1,2.82,4.18,0.661,0.0893,0.479,0.859,0.406,1016,0,Guard,Collin Sexton
86,64,22.4,5.69,2.08,1.3,1.59,0.493,0.775,0.365,1434,0,Forward-Center,Jaren Jackson Jr.
87,53,21.4,6.47,5.58,0.792,0.283,0.472,0.643,0.355,1135,0,Forward-Guard,RJ Barrett
88,71,13.5,10.0,1.96,0.958,0.958,0.703,0.726,0.0,959,0,Center,Jarrett Allen
89,54,11.8,3.07,3.48,0.889,0.519,0.47,0.702,0.386,638,0,Guard,Caris LeVert
90,24,12.7,3.79,4.08,0.542,0.208,0.433,0.88,0.286,305,0,Guard,Malcolm Brogdon
91,43,11.0,3.02,2.58,0.767,0.233,0.421,0.87,0.344,473,0,Guard,Bogdan Bogdanović
92,66,20.7,2.77,6.64,1.23,0.167,0.474,0.882,0.404,1368,0,Guard,Darius Garland
93,68,4.49,6.25,1.78,0.441,0.632,0.614,0.646,0.0,305,0,Forward-Center,Mason Plumlee
94,41,8.1,8.12,2.07,0.854,0.634,0.469,0.683,0.294,332,0,Center,Jusuf Nurkić
95,68,14.1,3.82,1.74,0.809,0.206,0.424,0.823,0.395,956,0,Guard-Forward,Dillon Brooks
96,36,1.58,2.72,0.639,0.0278,0.222,0.456,0.227,0.0,57,0,Center-Forward,Tristan Thompson
97,60,20.5,3.17,4.57,1.35,0.433,0.424,0.878,0.372,1228,0,Guard,Jordan Poole
98,43,22.3,4.07,7.44,1.23,0.256,0.449,0.834,0.291,960,0,Guard,Ja Morant
99,68,23.5,5.25,5.56,0.868,0.235,0.461,0.867,0.366,1595,0,Guard,Tyler Herro
100,52,3.73,5.46,1.21,0.365,0.481,0.534,0.424,0.0,194,0,Center,Steven Adams
