season,team,games_played,pts,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct
2016-17,1610612755,31,627,20.2,7.84,2.13,0.871,2.45,0.466,0.783,0.367
2017-18,1610612755,63,1445,22.9,11.0,3.16,0.635,1.76,0.483,0.769,0.308
2018-19,1610612755,64,1761,27.5,13.6,3.66,0.719,1.91,0.484,0.804,0.3
2019-20,1610612755,51,1172,23.0,11.6,2.98,0.882,1.27,0.477,0.807,0.331
2020-21,1610612755,51,1451,28.5,10.6,2.84,0.98,1.35,0.513,0.859,0.377
2021-22,1610612755,68,2079,30.6,11.7,4.18,1.13,1.46,0.499,0.814,0.371
2022-23,1610612755,66,2183,33.1,10.2,4.15,1.0,1.7,0.548,0.857,0.33
2023-24,1610612755,39,1353,34.7,11.0,5.62,1.18,1.69,0.529,0.883,0.388
2024-25,1610612755,19,452,23.8,8.16,4.47,0.737,0.947,0.444,0.882,0.299
